text,label
cannot continue calling feminist right womxn arent addressed yes sexual offence public list trans lesbian bisexual queer womxn able enter information reporting sheet gender forum,0
nawt yall nigger ignoring,0
user bit confused coz chinese ppl access twitter thn ching chong using think pakistani,1
end nigger trainee doctor speak properly lack basic knowledge biology truly scary public knew,1
nog jew dyke enriching,1
guilty proven innocent unless jew nigger lover,1
number number percent brit think multiculturalism failure guess percent happy muzzie master great britain anymore soon big ben converted minaret,1
tariq nasheed beating fuck drum beloved lmao somebody put biscuit nigga mouth already,0
percent cotton thigh high avoid contact gay chemical,0
oomf number yearl old closet gay obsessed someone help,0
fella careful texting nigga,0
italian nigga call dick poozingi,0
user user user user user married negress white woman want black female america love nobama,0
user condoning drug use kike thanks disclosure,1
user user people act say state obviously american pro gun american support government treatment immigrant foreigner come israel suddenly logic change,0
anyways fact outfit directly violates france law abt face covering veil still headlined paris fashion week show law never abt obscured facial identification abt white supremacy islamophobia,0
lol stupid kike,1
anyone care albino nigger say,1
sound like kike national socialist,1
saw couple baum stein victim list ya got info thought school half spic though,1
elite looter enriched import iq moslem onto welfare section number homeless vet would need taxpayer paid class use toilet free home,0
negro moslem doctor got struck negligence white number year old kid syndrome died guardian response help promote crowd funding campaign,1
anyway princess sapphire silverland dyke threw first brick stonewall,1
could teach giraffe paint would one handy sumbitch,0
wanna meet carti bitch barbie,0
smiling cuz young black rich handsome,0
bitch fine got nerve like nigga,1
user user yeah people fall outside society standard sexual norm maybe there reason lot queer trans ppl like talk bit openly sexuality certain space feel safe,0
play one game overwatch month away first game instantly two player calling people faggot kill oh boy gotta play game anymore,0
user irony one whose mother raped invader,0
user user scheming fraud front hillbilly cult,0
user idea woman get credit jumping woman calling impeachment take hit smear told go back come job well done unknown white congress woman,0
big baby davis faggot shameless doe,1
user user baby cage destroying environment rolling back regulation siding white supremacist bad mouthing gold star family shithole country response puerto rico,0
related instagram tag jewelry fashionable designer trendy hairstyle fashion gram fashion blog menswear men style trend,0
catch woahs pull hoe,0
nigga cry complain much starting think real female relationship,1
stephanie liking nigga shit getting mad bitch tonight,0
remember kid cucumber sluttiest vegetable,0
user time shooting young men demand look tweet whole series people worse nazi child get raped tortured jail little palestinian child,0
user user user like pretty much anything rooted nostalgia even tangentially going wrong path trans woman color disabled queer latina almost certainly never thing many case none,0
going give fellow negro advice dont show white christian school trying make connection show trying christian roman originally hated christian burned stake fed lion,0
stupid motherfucking dick dont dribble as get fuck club fucking faggot user,1
user user user way better sonoma remember redneck jesus glenn also,0
flag maga fag glory come nigger red shoe,1
hear phrase white privilege one time going opt come back next life black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece shit word everything life,1
another dumb nigger,1
proven gender yet nice profile pic way oh im nigger,1
user cunt retarded nigger pissed bead shit asshole jew kike,1
ok give u defense nigger dog tell u like lol bet gonna sound like mudshark taking actual nigger lol,1
user white people agency unlike mudslime sandniggers kill random pedastrians without voice left violence come journalist google executive first regret done white rebellion free weev weev nothing wrong like hitler,1
user first kike,1
jew hated disease need eradicated among white folk subhuman nigger arab foot soldier enemy annihilation negotiation,1
pro white christian deported africa belong would come subversive piece shit take advantage white civilization opening gate nigger need standard bottom line nigger level iq dead weight,1
yet another sand nigger slaughter innocent hey libscum hope sweet little tender daughter next brought scum live,1
yet couple filthy dyke want pander sin see must comply law time start organizing one else gonna,1
user animal killed people horrified bear coon call liberal definition liberal feminist changed keep old dictionary,0
lol wear many confrontation po muzzies black panther scum,1
reminds college fundraiser help kike family rebuild burnt house father magistrado like high court judge richer student family,1
damn dat wetback need strap moobs,1
tire day blah blah blah kike see dream cheese puff boy go bed school night,1
zion go slipping tearing shoe limp power jack white game,0
feisty little girl white walker giant feisty young woman night king nuff said got,0
silk sheet diamond white,0
bro hoe,0
ion hang wit bitch nigga insecure,1
cat dick barb scrape competing sperm,0
lmao viking suck get nigga city,0
nigger need sack tweet nigger,1
gap blackpink artist,0
girl like mix protective let slut,0
muzrat strategy every country infest,1
lady uyasebenta independent drive nice car nice apartment beautiful fun every weekend wake different guy bed cry claim raped even remember sex wtf yini lenkinga lost,0
pc group bts user retweet army skip il hate,0
dm paypal faggot cash fag paypig cash master cash slave,1
adulting ghetto sign,0
sorry nigger comment even black like nigger,1
officially spooky szn bitch,0
nd percent nigger jewish culture taken account thanks jew,1
nigger calling juicy lip phone wtf,1
know somewhat hypocritical fuck deal queer guy slightly small white tshirts,0
wore nipsey blue suit today nigger work place feel energy,0
dwts look good white,0
create list destabilizing violence,0
user sup faggot suck two inch cock thru old navy jean,1
hate fucking nigger,1
